Diagnostico,cp_extraido,Estado,Ubicacion,Precio_MXN
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,25398,Coahuila,"Casa en venta disponible en Sin nombre de calle, Col. Huachichil (El Huache), Arteaga, Coahuila de Zaragoza, México, C.P. 25398, ID: 30859289",11850000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,25367,Coahuila,"Sin nombre de calle #s/n, Col. Loma Alta, Arteaga, Coahuila de Zaragoza, México, C.P. 25367, ID: 30913146",3250000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,25398,Coahuila,"Se vende casa en ., Col. Huachichil (El Huache), Arteaga, Coahuila de Zaragoza, México, C.P. 25398, ID: 29414743",16950000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,25398,Coahuila,"Se vende casa en , Col. Huachichil (El Huache), Arteaga, Coahuila de Zaragoza, México, C.P. 25398, ID: 29414745",11850000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,26196,Coahuila,"Venta casa en Col. Nava, Nava, Coahuila de Zaragoza, México, C.P. 26196, ID: 30506681",9000000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,25356,Coahuila,"Se vende casa en Av. Valle Ote., 25356 Arteaga, Coah. #s/n, Col. Privadas los Llanos, Arteaga, Coahuila de Zaragoza, México, C.P. 25356, ID: 31008314",2300000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,25356,Coahuila,"Casa en venta, Río seña, Col. Los Llanos Residencial, Arteaga, Coahuila de Zaragoza, México, C.P. 25356, ID: 29524666",12000000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,26065,Coahuila,"Venta casa en Privada. Praderas #s/n, Col. Praderas, Piedras Negras, Coahuila de Zaragoza, México, C.P. 26065, ID: 30702909",1350000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,25356,Coahuila,"Rio Barispe #na, Col. Parque Industrial Fundadores, Arteaga, Coahuila de Zaragoza, México, C.P. 25356, ID: 28960458",1800000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,26065,Coahuila,"Av. Praderas, Piedras Negras, Coah. #s/n, Col. Praderas, Piedras Negras, Coahuila de Zaragoza, México, C.P. 26065, ID: 30694083",1200000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,25393,Coahuila,"Casa en venta, Lote #16, Col. El Diamante , Arteaga, Coahuila de Zaragoza, México, C.P. 25393, ID: 29182323",2350000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,25398,Coahuila,"Sin nombre de calle #S/N, Col. Huachichil (El Huache), Arteaga, Coahuila de Zaragoza, México, C.P. 25398, ID: 30859290",16950000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,55787,Estado De Mexico,"Marsella, Col. Villas de Tonanitla, Tonanitla, México, México, C.P. 55787, ID: 30581730",1664000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,55787,Estado De Mexico,"Venta de casa C. Pablo Picasso, 55787 Villas de Tonanitla, Méx., Col. Villas de Tonanitla, Tonanitla, México, México, C.P. 55787, ID: 30805357",2300000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,,Estado-De-Mexico,"Venta de casa en Tizapan #s/n, Ecatepec de Morelos, México, México, ID: 30585639",3380000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,,Estado-De-Mexico,"José Ma. Morelos, Acolman, México, México, ID: 29825119",2500000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,55787,Estado-De-Mexico,"Valencia, Col. Villas de Tonanitla, Tonanitla, México, México, C.P. 55787, ID: 30795149",1750000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,51329,Estado-De-Mexico,"Casa en venta disponible en Sin nombre, Col. Mesón Viejo, Temascaltepec, México, México, C.P. 51329, ID: 27618580",3300000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,55787,Estado-De-Mexico,"DAVID ALFARO SIQUEIROS #00Int. 0, Col. Villas de Tonanitla, Tonanitla, México, México, C.P. 55787, ID: 30086325",1880000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,52081,Estado-De-Mexico,"Casa disponible en venta en Col. San Mateo Capulhuac, Otzolotepec, México, México, C.P. 52081, ID: 30171551",1931090.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,52242,Estado-De-Mexico,"Se vende casa Av. Constituyentes Nte., Col. Jardines de Santa Teresa, Chapultepec, México, México, C.P. 52242, ID: 30364992",1600000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,52242,Estado-De-Mexico,"Se vende casa jardines, Col. Jardines de Santa Teresa, Chapultepec, México, México, C.P. 52242, ID: 30536610",640000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,55787,Estado-De-Mexico,"Se vende casa Privada Villa Londres #Mz C Lt 11Int. 8, Col. Villas de Tonanitla, Tonanitla, México, México, C.P. 55787, ID: 27662493",1570000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,52242,Estado-De-Mexico,", Col. Jardines de Santa Teresa, Chapultepec, México, México, C.P. 52242, ID: 28543887",1300000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,,Quintana-Roo,"Casa en venta disponible en puerto morelos puerto morelos, Puerto Morelos, Quintana Roo, México, ID: 26990962",3980000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,77590,Quintana-Roo,"kilometro 26 ruta de los cenotes #25, Col. Leona Vicario, Puerto Morelos, Quintana Roo, México, C.P. 77590, ID: 30995030",3500000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,77590,Quintana-Roo,"Se vende casa SM 208, MZ 13, L13, Calle 72, Col. Leona Vicario, Puerto Morelos, Quintana Roo, México, C.P. 77590, ID: 30459719",3100000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,77590,Quintana-Roo,"Casa en venta, Leona Vicario, Col. Leona Vicario, Puerto Morelos, Quintana Roo, México, C.P. 77590, ID: 30612092",1350000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,91612,Veracruz,"Se vende casa , Col. Plan de la Cruz, Coatepec, Veracruz de Ignacio de la Llave, México, C.P. 91612, ID: 29436379",6000000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,95375,Veracruz,"95375 Los Pinos, Ver. #211, Col. Las Yaguas, Tres Valles, Veracruz de Ignacio de la Llave, México, C.P. 95375, ID: 30881019",690000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,91278,Veracruz,"Casa en venta, 91278 Los Molinos, Ver. #15, Col. Los Molinos (San José), Perote, Veracruz de Ignacio de la Llave, México, C.P. 91278, ID: 30874646",1450000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,91612,Veracruz,"Venta de casa en Jazmin, Col. Plan de la Cruz, Coatepec, Veracruz de Ignacio de la Llave, México, C.P. 91612, ID: 30027902",5950000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,92923,Veracruz,"Casa en venta, , Col. Pueblo Viejo, Tihuatlán, Veracruz de Ignacio de la Llave, México, C.P. 92923, ID: 29551151",6700000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,91612,Veracruz,"Venta de casa Cipres #3, Col. Mariano Escobedo, Coatepec, Veracruz de Ignacio de la Llave, México, C.P. 91612, ID: 29401784",6000000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,92923,Veracruz,"Venta casa en , Col. Pueblo Viejo, Tihuatlán, Veracruz de Ignacio de la Llave, México, C.P. 92923, ID: 29552268",4795000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,91611,Veracruz,"Se vende casa en Ignacio Manuel Altamirano, Col. Cuauhtemoc, Coatepec, Veracruz de Ignacio de la Llave, México, C.P. 91611, ID: 28574956",4300000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,91612,Veracruz,"Se vende casa Bernardo Silva #6, Col. Plan de la Cruz, Coatepec, Veracruz de Ignacio de la Llave, México, C.P. 91612, ID: 30567156",6500000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,91612,Veracruz,"Venta casa en , Col. Plan de la Cruz, Coatepec, Veracruz de Ignacio de la Llave, México, C.P. 91612, ID: 28016059",5950000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,92923,Veracruz,"Se vende casa en , Col. Pueblo Viejo, Tihuatlán, Veracruz de Ignacio de la Llave, México, C.P. 92923, ID: 29553328",6700000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,91612,Veracruz,"Venta de casa en , Col. Plan de la Cruz, Coatepec, Veracruz de Ignacio de la Llave, México, C.P. 91612, ID: 30808172",6000000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,91612,Veracruz,"Casa en venta, Sin nombre de calle, Col. Mariano Escobedo, Coatepec, Veracruz de Ignacio de la Llave, México, C.P. 91612, ID: 22349168",5000000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,91612,Veracruz,"Venta de casa en , Col. Plan de la Cruz, Coatepec, Veracruz de Ignacio de la Llave, México, C.P. 91612, ID: 20014612",6000000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,92923,Veracruz,", Col. Pueblo Viejo, Tihuatlán, Veracruz de Ignacio de la Llave, México, C.P. 92923, ID: 29551023",1900000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,91612,Veracruz,"Casa en venta, Bernardo Silva, Plan de La Cruz, 91612 Coatepec, Ver. #s/n, Col. Plan de la Cruz, Coatepec, Veracruz de Ignacio de la Llave, México, C.P. 91612, ID: 31030046",2250000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,91612,Veracruz,"Se vende casa en cerrada #1Int. 14, Col. Mariano Escobedo, Coatepec, Veracruz de Ignacio de la Llave, México, C.P. 91612, ID: 29142993",4800000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,91612,Veracruz,"Casa disponible en venta en Briones #WHI301753, Col. Plan de la Cruz, Coatepec, Veracruz de Ignacio de la Llave, México, C.P. 91612, ID: 29060564",5500000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,91612,Veracruz,"Se vende casa Camino a Rancho Viejo #39, Col. Mariano Escobedo, Coatepec, Veracruz de Ignacio de la Llave, México, C.P. 91612, ID: 29157609",8325000.0
FALLO_TOTAL: CP inválido y Municipio no mencionado en la ubicación,91612,Veracruz,"Se vende casa en Privada Yerbabuena #1, Col. Mariano Escobedo, Coatepec, Veracruz de Ignacio de la Llave, México, C.P. 91612, ID: 30741424",4800000.0
